StartTime: 2021-08-30 17:22:21.033
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	D0	D1	D2	D3	Pressure(Pa)	Altitude(m)	Lon(deg)	Lat(deg)	GPSHeight(m)	GPSYaw(deg)	GPSV(km/h)	q0	q1	q2	q3	SV	PDOP	HDOP	VDOP
COM14	 17:30:10.816	0.5503	0.5166	0.6372	-24.9634	-10.6201	19.6533	44.6814	-35.6067	131.7151	33.3900	105	-375	71	0	0	0	0	0	0.00	0.00000000	0.00000000	0.0	0.0	0.000	0.00000	0.00000	0.00000	0.00000	0	0.00	0.00	0.00
COM13	 17:30:10.822	0.4014	0.6753	0.5264	-32.5928	7.0190	6.8970	53.8660	-22.4286	123.5413	33.3200	162	-357	124	0	0	0	0	0	0.00	0.00000000	0.00000000	0.0	0.0	0.000	0.00000	0.00000	0.00000	0.00000	0	0.00	0.00	0.00
COM14	 17:30:10.822	0.5596	0.5137	0.6406	-26.0620	-12.2681	20.5078	44.5276	-35.7220	131.7975	33.3200	105	-375	71	0	0	0	0	0	0.00	0.00000000	0.00000000	0.0	0.0	0.000	0.00000	0.00000	0.00000	0.00000	0	0.00	0.00	0.00
COM13	 17:30:10.828	0.3950	0.6675	0.5269	-30.8228	6.9580	6.9580	53.6902	-22.4396	123.6456	33.4500	161	-357	125	0	0	0	0	0	0.00	0.00000000	0.00000000	0.0	0.0	0.000	0.00000	0.00000	0.00000	0.00000	0	0.00	0.00	0.00
COM13	 17:30:10.828	0.3945	0.6636	0.5327	-30.8228	6.9580	6.9580	53.3716	-22.4670	123.8544	33.5100	161	-357	125	0	0	0	0	0	0.00	0.00000000	0.00000000	0.0	0.0	0.000	0.00000	0.00000	0.00000	0.00000	0	0.00	0.00	0.00
COM13	 17:30:10.833	0.3945	0.6636	0.5327	-28.4424	5.9204	7.5684	53.3716	-22.4670	123.8544	33.5100	161	-358	125	0	0	0	0	0	0.00	0.00000000	0.00000000	0.0	0.0	0.000	0.00000	0.00000	0.00000	0.00000	0	0.00	0.00	0.00
COM14	 17:30:10.834	0.5757	0.5146	0.6631	-26.2451	-14.6484	20.6909	44.0881	-36.0846	132.0117	33.3200	105	-375	68	0	0	0	0	0	0.00	0.00000000	0.00000000	0.0	0.0	0.000	0.00000	0.00000	0.00000	0.00000	0	0.00	0.00	0.00
COM13	 17:30:10.834	0.3945	0.6636	0.5327	-28.4424	5.9204	7.5684	53.2233	-22.4835	123.9532	33.5100	161	-358	124	0	0	0	0	0	0.00	0.00000000	0.00000000	0.0	0.0	0.000	0.00000	0.00000	0.00000	0.00000	0	0.00	0.00	0.00
COM13	 17:30:10.837	0.3926	0.6582	0.5454	-28.4424	5.9204	7.5684	53.0750	-22.5000	124.0576	33.5100	161	-358	124	0	0	0	0	0	0.00	0.00000000	0.00000000	0.0	0.0	0.000	0.00000	0.00000	0.00000	0.00000	0	0.00	0.00	0.00
COM13	 17:30:10.837	0.3926	0.6582	0.5454	-28.4424	5.9204	7.5684	53.0750	-22.5000	124.0576	33.5100	161	-358	124	0	0	0	0	0	0.00	0.00000000	0.00000000	0.0	0.0	0.000	0.00000	0.00000	0.00000	0.00000	0	0.00	0.00	0.00
